Date,Open,High,Low,Close,Adj Close,Volume
1985-01-28,1277.719971,1305.099976,1266.890015,1277.719971,1277.719971,55430000
1985-02-04,1272.079956,1301.130005,1268.989990,1289.969971,1289.969971,59480000
1985-02-11,1287.989990,1307.530029,1266.339966,1282.020020,1282.020020,61270000
1985-02-18,1279.810059,1292.510010,1269.989990,1275.839966,1275.839966,34550000
1985-02-25,1269.989990,1309.959961,1263.910034,1299.359985,1299.359985,55750000
1985-03-04,1299.910034,1304.550049,1264.130005,1269.660034,1269.660034,52050000
1985-03-11,1268.770020,1279.479980,1245.140015,1247.349976,1247.349976,44120000
1985-03-18,1252.650024,1278.930054,1242.819946,1267.449951,1267.449951,45230000
1985-03-25,1261.699951,1275.510010,1252.099976,1266.780029,1266.780029,44920000
1985-04-01,1264.800049,1280.150024,1248.339966,1259.050049,1259.050049,31620000
1985-04-08,1259.500000,1274.849976,1246.020020,1265.680054,1265.680054,43200000
1985-04-15,1262.589966,1281.910034,1256.959961,1266.560059,1266.560059,45770000
1985-04-22,1269.770020,1290.300049,1257.619995,1275.180054,1275.180054,44930000
1985-04-29,1272.859985,1277.939941,1235.530029,1247.239990,1247.239990,50100000
1985-05-06,1246.910034,1282.459961,1239.510010,1274.180054,1274.180054,58700000
1985-05-13,1277.609985,1295.829956,1265.459961,1285.339966,1285.339966,57910000
1985-05-20,1298.949951,1316.079956,1290.989990,1301.969971,1301.969971,52110000
1985-05-27,1305.329956,1320.790039,1292.790039,1315.410034,1315.410034,45020000
1985-06-03,1321.239990,1331.989990,1304.209961,1316.420044,1316.420044,52960000
1985-06-10,1314.290039,1323.810059,1285.390015,1300.959961,1300.959961,46220000
1985-06-17,1298.949951,1326.050049,1287.750000,1324.479980,1324.479980,53040000
1985-06-24,1315.079956,1341.170044,1307.800049,1335.459961,1335.459961,53120000
1985-07-01,1334.010010,1343.750000,1320.229980,1334.449951,1334.449951,32080000
1985-07-08,1330.420044,1345.989990,1313.400024,1338.599976,1338.599976,47740000
1985-07-15,1333.890015,1365.930054,1326.949951,1359.540039,1359.540039,62860000
1985-07-22,1356.180054,1372.199951,1335.689941,1357.079956,1357.079956,62410000
1985-07-29,1354.280029,1361.900024,1334.900024,1353.050049,1353.050049,46100000
1985-08-05,1348.569946,1352.709961,1316.310059,1320.790039,1320.790039,39520000
1985-08-12,1318.770020,1326.050049,1303.650024,1312.719971,1312.719971,39450000
1985-08-19,1312.050049,1334.680054,1307.569946,1318.319946,1318.319946,36720000
1985-08-26,1316.640015,1342.410034,1309.810059,1334.010010,1334.010010,44260000
1985-09-02,1333.670044,1341.400024,1318.209961,1335.689941,1335.689941,33830000
1985-09-09,1335.130005,1348.229980,1296.709961,1307.680054,1307.680054,46960000
1985-09-16,1307.349976,1315.750000,1283.709961,1297.939941,1297.939941,50370000
1985-09-23,1313.959961,1334.569946,1301.859985,1320.790039,1320.790039,53780000
1985-09-30,1330.089966,1351.589966,1318.550049,1328.739990,1328.739990,59730000
1985-10-07,1326.050049,1343.410034,1315.189941,1339.939941,1339.939941,39640000
1985-10-14,1340.390015,1383.400024,1336.579956,1368.839966,1368.839966,62220000
1985-10-21,1367.050049,1375.670044,1351.589966,1356.520020,1356.520020,51990000
1985-10-28,1353.050049,1393.579956,1346.550049,1390.250000,1390.250000,65430000
1985-11-04,1388.069946,1411.010010,1377.060059,1404.359985,1404.359985,66090000
1985-11-11,1405.729980,1450.569946,1402.410034,1435.089966,1435.089966,76650000
1985-11-18,1433.260010,1475.569946,1422.250000,1464.329956,1464.329956,80350000
1985-11-25,1462.839966,1486.930054,1447.250000,1472.130005,1472.130005,66560000
1985-12-02,1471.329956,1504.010010,1450.339966,1477.180054,1477.180054,72650000
1985-12-09,1483.939941,1546.439941,1478.099976,1535.209961,1535.209961,118660000
1985-12-16,1538.300049,1570.869995,1528.439941,1543.000000,1543.000000,103040000
1985-12-23,1539.219971,1548.849976,1508.829956,1543.000000,1543.000000,42390000
1985-12-30,1546.099976,1562.839966,1523.739990,1549.199951,1549.199951,46200000
1986-01-06,1550.000000,1578.099976,1495.640015,1513.530029,1513.530029,80330000
1986-01-13,1511.930054,1552.520020,1502.290039,1536.699951,1536.699951,70140000
1986-01-20,1530.849976,1537.390015,1491.739990,1529.930054,1529.930054,62620000
1986-01-27,1536.579956,1582.910034,1524.430054,1570.989990,1570.989990,76810000
1986-02-03,1570.530029,1622.819946,1564.329956,1613.420044,1613.420044,91510000
1986-02-10,1614.449951,1668.689941,1605.160034,1664.449951,1664.449951,84550000
1986-02-17,1661.579956,1702.750000,1641.969971,1697.709961,1697.709961,67300000
1986-02-24,1689.790039,1732.569946,1674.079956,1709.060059,1709.060059,93500000
1986-03-03,1706.189941,1718.630005,1663.069946,1699.829956,1699.829956,80390000
1986-03-10,1698.040039,1799.930054,1688.699951,1792.739990,1792.739990,95270000
1986-03-17,1777.060059,1821.239990,1758.380005,1768.560059,1768.560059,89600000
1986-03-24,1784.359985,1849.739990,1762.089966,1821.719971,1821.719971,75970000
1986-03-31,1824.229980,1841.829956,1728.449951,1739.219971,1739.219971,83840000
1986-04-07,1734.550049,1812.500000,1712.520020,1790.180054,1790.180054,138800000
1986-04-14,1791.420044,1870.160034,1781.000000,1840.400024,1840.400024,102310000
1986-04-21,1842.510010,1866.439941,1803.939941,1835.569946,1835.569946,83650000
1986-04-28,1834.199951,1856.150024,1761.040039,1774.680054,1774.680054,80740000
1986-05-05,1777.530029,1803.319946,1755.209961,1789.430054,1789.430054,73140000
1986-05-12,1786.459961,1815.229980,1749.880005,1759.800049,1759.800049,70520000
1986-05-19,1763.140015,1842.140015,1746.530029,1823.290039,1823.290039,60850000
1986-05-26,1833.160034,1898.219971,1823.479980,1876.709961,1876.709961,61710000
1986-06-02,1874.189941,1894.380005,1845.530029,1885.900024,1885.900024,59380000
1986-06-09,1878.770020,1883.209961,1816.069946,1874.189941,1874.189941,60130000
1986-06-16,1880.520020,1890.609985,1843.750000,1879.540039,1879.540039,67760000
1986-06-23,1873.489990,1903.359985,1853.390015,1885.260010,1885.260010,65140000
1986-06-30,1884.979980,1922.670044,1876.119995,1900.869995,1900.869995,50480000
1986-07-07,1893.979980,1895.530029,1794.989990,1821.430054,1821.430054,81230000
1986-07-14,1809.339966,1816.650024,1754.640015,1777.979980,1777.979980,90870000
1986-07-21,1774.180054,1821.569946,1763.920044,1810.040039,1810.040039,64120000
1986-07-28,1806.949951,1815.239990,1741.560059,1763.640015,1763.640015,78530000
1986-08-04,1753.089966,1802.020020,1730.599976,1782.619995,1782.619995,77300000
1986-08-11,1786.699951,1863.609985,1779.250000,1855.599976,1855.599976,76720000
1986-08-18,1857.989990,1899.469971,1842.660034,1887.800049,1887.800049,67210000
1986-08-25,1887.650024,1918.589966,1860.520020,1898.339966,1898.339966,65270000
1986-09-01,1903.260010,1933.349976,1852.780029,1899.750000,1899.750000,77050000
1986-09-08,1889.760010,1909.449951,1733.550049,1758.719971,1758.719971,109730000
1986-09-15,1772.920044,1799.349976,1739.599976,1762.650024,1762.650024,89330000
1986-09-22,1771.369995,1820.020020,1750.140015,1769.689941,1769.689941,93830000
1986-09-29,1759.560059,1806.380005,1732.989990,1774.180054,1774.180054,83030000
1986-10-06,1772.920044,1824.239990,1763.359985,1793.170044,1793.170044,87080000
1986-10-13,1792.599976,1852.640015,1781.500000,1837.040039,1837.040039,82190000
1986-10-20,1821.290039,1851.660034,1792.040039,1832.359985,1832.359985,77430000
1986-10-27,1834.079956,1894.689941,1817.489990,1877.709961,1877.709961,101380000
1986-11-03,1880.619995,1911.140015,1868.949951,1886.530029,1886.530029,100950000
1986-11-10,1883.439941,1909.310059,1848.280029,1873.589966,1873.589966,81890000
1986-11-17,1857.000000,1901.859985,1797.099976,1893.560059,1893.560059,114450000
1986-11-24,1887.650024,1926.459961,1879.079956,1914.229980,1914.229980,68330000
1986-12-01,1900.170044,1971.739990,1880.479980,1925.060059,1925.060059,96330000
1986-12-08,1925.479980,1947.410034,1904.390015,1912.260010,1912.260010,81910000
1986-12-15,1901.010010,1942.910034,1887.089966,1928.849976,1928.849976,122810000
1986-12-22,1921.959961,1939.119995,1902.280029,1930.400024,1930.400024,74460000
1986-12-29,1925.199951,1933.489990,1885.400024,1927.310059,1927.310059,39670000
1987-01-05,1944.880005,2021.650024,1936.589966,2005.910034,2005.910034,126670000
1987-01-12,1997.329956,2099.689941,1987.630005,2076.629883,2076.629883,141550000
1987-01-19,2067.070068,2214.570068,2051.320068,2101.520020,2101.520020,139950000
1987-01-26,2103.629883,2193.340088,2079.719971,2158.040039,2158.040039,117630000
1987-02-02,2152.979980,2223.280029,2142.149902,2186.870117,2186.870117,128710000
1987-02-09,2183.209961,2203.179932,2134.419922,2183.350098,2183.350098,99230000
1987-02-16,2192.770020,2266.449951,2184.899902,2235.239990,2235.239990,106480000
1987-02-23,2235.939941,2249.860107,2186.300049,2223.989990,2223.989990,94540000
1987-03-02,2228.209961,2298.229980,2209.080078,2280.229980,2280.229980,93270000
1987-03-09,2270.389893,2302.169922,2238.610107,2258.659912,2258.659912,86340000
1987-03-16,2251.419922,2342.050049,2224.860107,2333.520020,2333.520020,105660000
1987-03-23,2337.500000,2399.570068,2322.439941,2335.800049,2335.800049,108400000
1987-03-30,2243.040039,2402.409912,2230.260010,2390.340088,2390.340088,118330000
1987-04-06,2407.530029,2428.409912,2305.110107,2338.780029,2338.780029,118950000
1987-04-13,2332.389893,2355.679932,2213.639893,2275.989990,2275.989990,133390000
1987-04-20,2293.179932,2353.129883,2221.590088,2235.370117,2235.370117,123590000
1987-04-27,2208.100098,2314.199951,2180.540039,2280.399902,2280.399902,135060000
1987-05-04,2275.139893,2369.889893,2255.260010,2322.300049,2322.300049,145190000
1987-05-11,2336.750000,2380.770020,2266.600098,2272.520020,2272.520020,124330000
1987-05-18,2269.199951,2282.909912,2188.530029,2243.199951,2243.199951,112550000
1987-05-25,2273.060059,2332.389893,2252.879883,2291.570068,2291.570068,73710000
1987-06-01,2309.620117,2346.330078,2260.620117,2326.149902,2326.149902,78410000
1987-06-08,2320.389893,2399.419922,2306.889893,2377.729980,2377.729980,90850000
1987-06-15,2393.360107,2431.850098,2374.389893,2420.850098,2420.850098,111420000
1987-06-22,2428.389893,2466.040039,2415.340088,2436.860107,2436.860107,104050000
1987-06-29,2437.659912,2460.300049,2391.260010,2436.699951,2436.699951,74610000
1987-07-06,2448.340088,2478.479980,2412.949951,2455.989990,2455.989990,110830000
1987-07-13,2456.310059,2533.639893,2427.139893,2510.040039,2510.040039,133060000
1987-07-20,2497.929932,2512.280029,2444.669922,2485.330078,2485.330078,93040000
1987-07-27,2486.449951,2588.330078,2468.750000,2572.070068,2572.070068,117440000
1987-08-03,2547.830078,2611.929932,2525.989990,2592.000000,2592.000000,117360000
1987-08-10,2596.620117,2714.919922,2587.850098,2685.429932,2685.429932,146390000
1987-08-17,2688.459961,2735.489990,2626.590088,2709.500000,2709.500000,122150000
1987-08-24,2712.370117,2746.649902,2632.020020,2639.350098,2639.350098,100490000
1987-08-31,2633.929932,2695.469971,2556.280029,2561.379883,2561.379883,109180000
1987-09-07,2551.179932,2625.949951,2493.780029,2608.739990,2608.739990,100550000
1987-09-14,2624.360107,2634.570068,2508.000000,2524.639893,2524.639893,95670000
1987-09-21,2537.860107,2603.949951,2468.989990,2570.169922,2570.169922,108810000
1987-09-28,2602.639893,2662.370117,2563.639893,2640.989990,2640.989990,110270000
1987-10-05,2646.540039,2658.780029,2472.260010,2482.209961,2482.209961,111910000
1987-10-12,2479.439941,2528.389893,2207.729980,2246.729980,2246.729980,169810000
1987-10-19,2046.670044,2164.159912,1616.209961,1950.760010,1950.760010,329860000
1987-10-26,1864.219971,2049.070068,1767.739990,1993.530029,1993.530029,177710000
1987-11-02,1972.650024,2027.520020,1891.739990,1959.050049,1959.050049,129600000
1987-11-09,1926.060059,1983.920044,1845.989990,1935.010010,1935.010010,109020000
1987-11-16,1966.349976,1979.280029,1853.609985,1913.630005,1913.630005,104680000
1987-11-23,1904.180054,1985.250000,1889.260010,1910.479980,1910.479980,62590000
1987-11-30,1859.250000,1877.979980,1733.920044,1766.739990,1766.739990,112140000
1987-12-07,1774.869995,1924.900024,1765.750000,1867.040039,1867.040039,107150000
1987-12-14,1867.209961,1987.229980,1860.410034,1975.300049,1975.300049,140930000
1987-12-21,1974.640015,2019.560059,1949.270020,1999.670044,1999.670044,73220000
1987-12-28,1955.569946,1966.180054,1912.630005,1938.829956,1938.829956,54290000
1988-01-04,1952.589966,2075.270020,1898.040039,1911.310059,1911.310059,115690000
1988-01-11,1934.349976,1988.400024,1877.979980,1956.069946,1956.069946,124930000
